Адрес,Дальность от метро,Метро,Название,Описание,Ссылка,Стоимость,Стоимость за метр
"Москва, НАО (Новомосковский), м. Рассказовка, улица Шекспира, 2А",5 минут на транспорте,Рассказовка,"2-комн. квартира, 53,7 м², 3/4 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310936541/,15 105 612 ₽,281 296 ₽/м²
"Москва, СЗАО, р-н Хорошево-Мневники, м. Бульвар Генерала Карбышева, Живописная улица, 5К2",11 минут пешком,Бульвар Генерала Карбышева,Ремонт! Мебель! Заезжай!  Живи!,"2-комн. квартира, 38 м², 4/9 этаж",https://www.cian.ru/sale/flat/309314348/,15 300 000 ₽,402 632 ₽/м²
"Москва, ЗАО, р-н Филевский парк, м. Багратионовская, улица Василисы Кожиной, 6К1",12 минут пешком,Багратионовская,Ваша Уютная 2-ка на Парке Победы!,"2-комн. квартира, 36 м², 3/9 этаж",https://www.cian.ru/sale/flat/310407858/,15 300 000 ₽,425 000 ₽/м²
"Москва, ЮВАО, р-н Южнопортовый, м. Кожуховская, 5-я Кожуховская улица, 20",10 минут пешком,Кожуховская,"2-к. квартира, 44,4 м², 8/9 эт.","2-комн. квартира, 44,4 м², 8/9 этаж",https://www.cian.ru/sale/flat/307584508/,15 300 000 ₽,344 595 ₽/м²
"Москва, ЮЗАО, р-н Зюзино, м. Зюзино, Перекопская улица, 1К1",9 минут пешком,Зюзино,"2-комн. квартира, 39 м², 11/12 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309124353/,15 250 000 ₽,391 026 ₽/м²
"Москва, ЮЗАО, р-н Черемушки, м. Профсоюзная, Новочеремушкинская улица, 53К2",6 минут на транспорте,Зюзино,Отличный Вариант!,"2-комн. квартира, 38,5 м², 4/9 этаж",https://www.cian.ru/sale/flat/310520135/,15 500 000 ₽,402 597 ₽/м²
"Москва, ВАО, р-н Северное Измайлово, м. Щёлковская, Щелковское шоссе, 92Ак1",3 минуты на транспорте,Щёлковская,"2-комн. квартира, 60 м², 17/17 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309975678/,15 500 000 ₽,258 333 ₽/м²
"Москва, ЗАО, р-н Можайский, м. Сетунь, Беловежская улица, 57",8 минут на транспорте,Кунцевская,"2-комн. квартира, 58,5 м², 10/10 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309774775/,15 600 000 ₽,266 667 ₽/м²
"Москва, ВАО, р-н Измайлово, м. Первомайская, 10-я Парковая улица, 4",4 минуты пешком,Первомайская,Записывайтесь на просмотр,"2-комн. квартира, 39 м², 9/12 этаж",https://www.cian.ru/sale/flat/309228832/,15 850 000 ₽,406 410 ₽/м²
"Москва, ЦАО, р-н Басманный, м. Бауманская, Доброслободская улица, 4",11 минут пешком,Бауманская,"2-комн. квартира, 45,3 м², 11/12 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310825347/,15 999 999 ₽,353 201 ₽/м²
"Москва, СЗАО, р-н Покровское-Стрешнево, м. Трикотажная, Волоколамское шоссе, 81/2с3",5 минут на транспорте,Тушинская,Комплекс на берегу двух рек!,"2-комн. апартаменты, 45,6 м², 13/25 этаж",https://www.cian.ru/sale/flat/310548633/,16 000 000 ₽,350 877 ₽/м²
"Москва, ЗелАО, р-н Крюково, м. Зеленоград — Крюково, Зеленоград, мкр. 16-й, к1620",5 минут на транспорте,Зеленоград — Крюково,"2-комн. квартира, 52 м², 11/14 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/297444042/,16 000 000 ₽,307 692 ₽/м²
"Москва, НАО (Новомосковский), м. Рассказовка, Московский г., улица Никитина, 11к5",10 минут на транспорте,Рассказовка,"2-комн. квартира, 74 м², 20/25 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/302055991/,15 900 000 ₽,214 865 ₽/м²
"Москва, ЗАО, р-н Солнцево, м. Солнцево, Производственная улица, 17",15 минут пешком,Солнцево,2-комнатная квартира,"2-комн. квартира, 52,9 м², 7/24 этаж",https://www.cian.ru/sale/flat/310309718/,16 000 000 ₽,302 457 ₽/м²
"Москва, ЗАО, р-н Тропарево-Никулино, м. Юго-Западная, проспект Вернадского, 127",12 минут пешком,Юго-Западная,Быстрый выход на сделку!,"2-комн. квартира, 54 м², 6/16 этаж",https://www.cian.ru/sale/flat/310228185/,16 300 000 ₽,301 852 ₽/м²
"Москва, СЗАО, р-н Хорошево-Мневники, м. Народное Ополчение, проспект Маршала Жукова, 35К1",9 минут пешком,Народное Ополчение,Двушка с ремонтом,"2-комн. квартира, 54 м², 16/16 этаж",https://www.cian.ru/sale/flat/307008838/,16 200 000 ₽,300 000 ₽/м²
"Москва, НАО (Новомосковский), м. Кедровая, Десеновское поселение, улица 3-я Нововатутинская, 15к3",7 минут пешком,Кедровая,"2-комн. квартира, 65,4 м², 14/14 этаж",Секция 4 • Сдан,https://www.cian.ru/sale/flat/297843913/,16 219 200 ₽,248 000 ₽/м²
"Москва, НАО (Новомосковский), м. Потапово, пос. Коммунарка, улица Потаповская Роща, 26к2",14 минут пешком,Потапово,"2-комн. квартира, 64,3 м², 12/12 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309947810/,16 500 000 ₽,256 610 ₽/м²
"Москва, СЗАО, р-н Хорошево-Мневники, м. Народное Ополчение, улица Демьяна Бедного, 19К2",9 минут пешком,Народное Ополчение,"2-комн. квартира, 52 м², 12/12 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/308250039/,16 500 000 ₽,317 308 ₽/м²
"Москва, ЮАО, р-н Братеево, м. Борисово, улица Борисовские Пруды, 14К3",1 минута пешком,Борисово,Отличная квартира у метро!,"2-комн. квартира, 56 м², 3/17 этаж",https://www.cian.ru/sale/flat/310187743/,16 500 000 ₽,294 643 ₽/м²
"Москва, ЮВАО, р-н Нижегородский, м. Нижегородская, Газгольдерная улица, 10",8 минут пешком,Нижегородская,Панорамные виды на Москву!,"2-комн. квартира, 59,8 м², 15/32 этаж",https://www.cian.ru/sale/flat/310874054/,16 500 000 ₽,275 920 ₽/м²
"Москва, ЗАО, р-н Очаково-Матвеевское, м. Очаково, Большая Очаковская улица, 12к7",17 минут пешком,Аминьевская,"2-комн. квартира, 66,2 м², 10/19 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310867027/,16 500 000 ₽,249 245 ₽/м²
"Москва, ЮВАО, р-н Южнопортовый, м. Угрешская, Волгоградский проспект, 32/5к2",5 минут пешком,Угрешская,"2-комн. апартаменты, 53,6 м², 12/31 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/308247300/,17 000 000 ₽,317 164 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Шелепиха, Причальный проезд, 3К3",10 минут пешком,Шелепиха,"2-комн. квартира, 44 м², 9/10 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/308353629/,16 999 000 ₽,386 341 ₽/м²
"Москва, ЗАО, р-н Кунцево, м. Рабочий посёлок, улица Ивана Франко, 32К1",20 минут пешком,Кунцевская,"2-комн.кв., 54.7 м², 9/12 этаж","2-комн. квартира, 54,7 м², 9/12 этаж",https://www.cian.ru/sale/flat/310915618/,16 900 000 ₽,308 958 ₽/м²
"Москва, САО, р-н Войковский, м. Красный Балтиец, улица Клары Цеткин, 9К1",16 минут пешком,Войковская,"2-комн. квартира, 42,5 м², 14/14 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310835455/,17 000 000 ₽,400 000 ₽/м²
"Москва, НАО (Новомосковский), м. Потапово, бульвар Скандинавский, 12",17 минут пешком,Потапово,Лучшее предложение в ЖК!,"2-комн. квартира, 69,2 м², 4/14 этаж",https://www.cian.ru/sale/flat/309201928/,16 900 000 ₽,244 220 ₽/м²
"Москва, ЮВАО, р-н Марьино, м. Люблино, улица Перерва, 68/35",19 минут пешком,Братиславская,Квартира с новым ремонтом,"2-комн. квартира, 53,6 м², 10/17 этаж",https://www.cian.ru/sale/flat/310636512/,16 999 999 ₽,317 164 ₽/м²
"Москва, НАО (Новомосковский), м. Потапово, Сосенское поселение, Скандинавия ЖК, улица Эдварда Грига, 15",9 минут пешком,Потапово,Лучшая квартира в ЖК,"2-комн. квартира, 65 м², 10/16 этаж",https://www.cian.ru/sale/flat/309201925/,16 900 000 ₽,260 000 ₽/м²
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Открытое шоссе, 18Ак4",15 минут пешком,Бульвар Рокоссовского,"2-комн. квартира, 55,1 м², 15/33 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309128712/,16 900 000 ₽,306 715 ₽/м²
"Москва, СВАО, р-н Алтуфьевский, м. Бескудниково, Инженерная улица, 34К2",2 минуты пешком,Бескудниково,"Реновация! 2 к.кв., 51 м²","2-комн. квартира, 51 м², 4/4 этаж",https://www.cian.ru/sale/flat/310559273/,17 300 000 ₽,339 216 ₽/м²
"Москва, СЗАО, р-н Хорошево-Мневники, м. Народное Ополчение, улица Мневники, 23",6 минут пешком,Народное Ополчение,"2-комн. квартира, 54,6 м², 9/14 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310507398/,17 500 000 ₽,320 513 ₽/м²
"Москва, ЗАО, р-н Можайский, м. Сетунь, Сколковское шоссе, 40к1",8 минут на транспорте,Кунцевская,Прописка Москвы! Лучшая цена!,"2-комн. квартира, 51 м², 3/12 этаж",https://www.cian.ru/sale/flat/309980971/,17 490 000 ₽,342 941 ₽/м²
"Москва, ЮАО, р-н Бирюлево Восточное, м. Каспийская, 6-я Радиальная улица, 7/6к3",8 минут пешком,Каспийская,"ИПОТЕКА по 14,75%","2-комн. квартира, 61 м², 7/18 этаж",https://www.cian.ru/sale/flat/307579676/,17 500 000 ₽,286 885 ₽/м²
"Москва, ЮВАО, р-н Лефортово, м. Серп и Молот, Волочаевская улица, 2",19 минут пешком,Серп и Молот,Уютная квартира,"2-комн. квартира, 50,5 м², 7/16 этаж",https://www.cian.ru/sale/flat/309734079/,17 500 000 ₽,346 535 ₽/м²
"Москва, НАО (Новомосковский), м. Ольховая, д. Сосенки, улица Ясеневая, 1к1",15 минут пешком,Ольховая,Снижение цены до НГ!!!,"2-комн. квартира, 60 м², 6/9 этаж",https://www.cian.ru/sale/flat/303783084/,17 500 000 ₽,291 667 ₽/м²
"Москва, ЮАО, р-н Нагатинский затон, м. Кленовый бульвар, Судостроительная улица, 36",19 минут пешком,Коломенская,"2-к., 54.8 м², рядом с парком","2-комн. квартира, 54,8 м², 5/5 этаж",https://www.cian.ru/sale/flat/310733176/,17 400 000 ₽,317 518 ₽/м²
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Открытое шоссе, 30",8 минут на транспорте,Бульвар Рокоссовского,Дом у парка Лосиный остров!,"2-комн. квартира, 64,6 м², 2/25 этаж",https://www.cian.ru/sale/flat/310636480/,17 500 000 ₽,270 898 ₽/м²
"Москва, НАО (Новомосковский), м. Сосенки, д. Сосенки, улица Ясеневая, 5к1",18 минут пешком,Ольховая,Современная квартира с мебелью!!!,"2-комн. квартира, 60 м², 6/8 этаж",https://www.cian.ru/sale/flat/309945225/,17 490 000 ₽,291 500 ₽/м²
"Москва, ЮВАО, р-н Лефортово, м. Площадь Ильича, Волочаевская улица, 13",10 минут пешком,Площадь Ильича,Выгодное предложение,"2-комн. квартира, 52 м², 4/14 этаж",https://www.cian.ru/sale/flat/310317387/,17 500 000 ₽,336 538 ₽/м²
"Москва, ВАО, р-н Косино-Ухтомский, м. Улица Дмитриевского, Салтыковская улица, 6/2к4",5 минут на транспорте,Улица Дмитриевского,Большая кухня-гостиная. Ремонт.,"2-комн. квартира, 70 м², 7/12 этаж",https://www.cian.ru/sale/flat/300744222/,17 700 000 ₽,252 857 ₽/м²
"Москва, САО, р-н Левобережный, м. Беломорская, Смольная улица, 44к1",6 минут пешком,Беломорская,"2-комн. апартаменты, 40 м², 3/17 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/297759348/,17 600 000 ₽,440 000 ₽/м²
"Москва, ЮАО, р-н Чертаново Южное, м. Аннино, Варшавское шоссе, 160к2",4 минуты пешком,Аннино,Лучшая видовая двушка у парка!,"2-комн. квартира, 56,6 м², 14/21 этаж",https://www.cian.ru/sale/flat/309941071/,17 800 000 ₽,314 488 ₽/м²
"Москва, ЮАО, р-н Даниловский, м. Крестьянская застава, Даниловская набережная, 4к2",10 минут на транспорте,Тульская,5 мин пешком до метро! 2025г!,"2-комн. квартира, 50 м², 2/9 этаж",https://www.cian.ru/sale/flat/310102013/,17 800 000 ₽,356 000 ₽/м²
"Москва, САО, р-н Аэропорт, м. Аэропорт, Часовая улица, 3",9 минут пешком,Аэропорт,"Продается 2-х комн. новостройка,","2-комн. квартира, 39,1 м², 3/20 этаж",https://www.cian.ru/sale/flat/306320410/,18 000 000 ₽,460 358 ₽/м²
"Москва, ВАО, р-н Метрогородок, м. Локомотив, Квартал Метроном ЖК",7 минут на транспорте,Бульвар Рокоссовского,"2-комн. квартира, 59,1 м², 25/31 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/308556665/,18 000 000 ₽,304 569 ₽/м²
"Москва, ЮЗАО, р-н Южное Бутово, м. Улица Скобелевская, улица Поляны, 5",15 минут пешком,Улица Скобелевская,Видовая квартира,"2-комн. квартира, 52,9 м², 31/31 этаж",https://www.cian.ru/sale/flat/308474524/,17 990 000 ₽,340 076 ₽/м²
"Москва, САО, р-н Аэропорт, м. Аэропорт, улица Пилота Нестерова, 7",12 минут пешком,Аэропорт,2 комн. кв-ра с евро ремонтом.,"2-комн. квартира, 43 м², 6/9 этаж",https://www.cian.ru/sale/flat/309215528/,17 900 000 ₽,416 279 ₽/м²
"Москва, СВАО, р-н Отрадное, м. Отрадное, Отрадная улица, 12",12 минут пешком,Отрадное,МОНОЛИТ|12 минут МЕТРО пешком!,"2-комн. квартира, 53,1 м², 16/17 этаж",https://www.cian.ru/sale/flat/308760928/,17 900 000 ₽,337 100 ₽/м²
"Москва, СВАО, р-н Южное Медведково, м. Медведково, улица Молодцова, 27к3",7 минут на транспорте,Бабушкинская,Продается светлая уютная квартира,"2-комн. квартира, 60,4 м², 7/17 этаж",https://www.cian.ru/sale/flat/309000301/,18 600 000 ₽,307 947 ₽/м²
"Москва, НАО (Новомосковский), м. Потапово, бульвар Скандинавский, 5к1",5 минут на транспорте,Потапово,"2-комн. квартира, 60,7 м², 2/14 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/307601695/,18 450 000 ₽,303 954 ₽/м²
"Москва, ЮАО, р-н Донской, м. Тульская, Большая Тульская улица, 54",8 минут пешком,Тульская,"2-комн. кв, 54.1 м², 8/17 этаж","2-комн. квартира, 54,1 м², 8/17 этаж",https://www.cian.ru/sale/flat/310411095/,18 500 000 ₽,341 959 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Улица 1905 года, 2-я Черногрязская улица, 5К1",16 минут пешком,Улица 1905 года,2-КОМНатная квартира в ЦАО,"2-комн. квартира, 41,5 м², 4/5 этаж",https://www.cian.ru/sale/flat/310273305/,18 500 000 ₽,445 783 ₽/м²
"Москва, САО, р-н Головинский, м. Коптево, Михалковская улица, 52С7",10 минут пешком,Коптево,Уникальная квартира!,"2-комн. апартаменты, 55,5 м², 10/10 этаж",https://www.cian.ru/sale/flat/306018451/,18 500 000 ₽,333 333 ₽/м²
"Москва, НАО (Новомосковский), м. Прокшино, проспект Прокшинский, 12",10 минут пешком,Прокшино,"2-комн. квартира, 52 м², 7/18 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309588084/,18 699 000 ₽,359 596 ₽/м²
"Москва, САО, р-н Головинский, м. Речной вокзал, Ленинградское шоссе, 88",8 минут пешком,Речной вокзал,"2-комн. квартира, 55,4 м², 15/16 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/306984953/,18 690 000 ₽,337 365 ₽/м²
"Москва, САО, р-н Савеловский, м. Дмитровская, Бутырская улица, 65/68",9 минут пешком,Дмитровская,Дизайнерская квартира с мебелью!,"2-комн. квартира, 43 м², 7/8 этаж",https://www.cian.ru/sale/flat/304872482/,18 800 000 ₽,437 209 ₽/м²
"Москва, СВАО, р-н Алексеевский, м. ВДНХ, Маломосковская улица, 8",11 минут пешком,Алексеевская,"2-комн. квартира, 46 м², 1/9 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/307949994/,19 000 000 ₽,413 043 ₽/м²
"Москва, ЮЗАО, р-н Обручевский, м. Университет Дружбы Народов, улица Островитянова, 5К1",4 минуты на транспорте,Коньково,Отличная квартира в новом доме!,"2-комн. квартира, 51,2 м², 13/17 этаж",https://www.cian.ru/sale/flat/310688688/,18 900 000 ₽,369 141 ₽/м²
"Москва, СЗАО, р-н Покровское-Стрешнево, м. Трикотажная, Волоколамское шоссе, 81/2с3",5 минут на транспорте,Тушинская,Комплекс на берегу двух рек!,"2-комн. апартаменты, 57,8 м², 5/25 этаж",https://www.cian.ru/sale/flat/310548567/,18 850 000 ₽,326 125 ₽/м²
"Москва, ЗАО, р-н Очаково-Матвеевское, м. Мичуринский проспект, Левел Мичуринский ЖК, к1",11 минут пешком,Мичуринский проспект,Корпус Премиум! Высокие потолки!,"2-комн. квартира, 37,4 м², 51/54 этаж",https://www.cian.ru/sale/flat/295454414/,19 390 000 ₽,518 449 ₽/м²
"Москва, СВАО, р-н Останкинский, м. Алексеевская, улица Бочкова, 11АС1",8 минут пешком,Алексеевская,"2-комн. квартира, 43 м², 10/26 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309834539/,19 300 000 ₽,448 837 ₽/м²
"Москва, ЗАО, р-н Очаково-Матвеевское, м. Давыдково, Аминьевское шоссе, 6",12 минут пешком,Давыдково,Евро-2к апартаменты,"2-комн. апартаменты, 53 м², 16/22 этаж",https://www.cian.ru/sale/flat/310730890/,19 300 000 ₽,364 151 ₽/м²
"Москва, СВАО, р-н Бутырский, м. Фонвизинская, улица Фонвизина, 13",3 минуты пешком,Фонвизинская,Уютная квартира.  Реновация.,"2-комн. квартира, 52,3 м², 12/18 этаж",https://www.cian.ru/sale/flat/310874049/,19 250 000 ₽,368 069 ₽/м²
"Москва, ЮВАО, р-н Нижегородский, м. Новохохловская, Новохохловская улица, 15к1",6 минут пешком,Новохохловская,3смарт в ЖК Новохохловская 15,"2-комн. квартира, 62,3 м², 6/33 этаж",https://www.cian.ru/sale/flat/308993929/,19 300 000 ₽,309 791 ₽/м²
"Москва, ЮАО, р-н Нагатино-Садовники, м. Нагатинская, Нагатинская набережная, 10А",15 минут пешком,Нагатинская,Свободная продажа квартиры,"2-комн. квартира, 46,1 м², 4/26 этаж",https://www.cian.ru/sale/flat/310073547/,19 200 000 ₽,416 486 ₽/м²
"Москва, ЮВАО, р-н Южнопортовый, м. Пролетарская, улица Мельникова, 25",10 минут пешком,Пролетарская,После ремонта!15 минут до Кремля!,"2-комн. квартира, 41 м², 4/5 этаж",https://www.cian.ru/sale/flat/310482152/,19 500 000 ₽,475 610 ₽/м²
"Москва, ЮЗАО, р-н Черемушки, м. Профсоюзная, Профсоюзная улица, 42К3",8 минут пешком,Профсоюзная,Квартира с дизайнерским ремонтом,"2-комн. квартира, 52,5 м², 4/12 этаж",https://www.cian.ru/sale/flat/310452197/,19 999 000 ₽,380 933 ₽/м²
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 33К9",5 минут пешком,Динамо,Лучшее предложение в районе!,"2-комн. квартира, 53,5 м², 5/5 этаж",https://www.cian.ru/sale/flat/310748420/,19 850 000 ₽,371 028 ₽/м²
"Москва, ЗАО, р-н Ново-Переделкино, м. Рассказовка, улица Скульптора Мухиной, 11к1",12 минут пешком,Новопеределкино,Самый экологичный район Новой Мос,"2-комн. квартира, 58 м², 11/16 этаж",https://www.cian.ru/sale/flat/309760902/,19 800 000 ₽,341 379 ₽/м²
"Москва, ЮЗАО, р-н Котловка, м. Крымская, Севастопольский проспект, 22А",20 минут пешком,Нагорная,Вид на  парк!,"2-комн. квартира, 45 м², 7/48 этаж",https://www.cian.ru/sale/flat/308559058/,19 990 000 ₽,444 222 ₽/м²
"Москва, ЮАО, р-н Даниловский, м. ЗИЛ, Шагал ЖК, 2-я оч., к4",19 минут пешком,ЗИЛ,Квартира в рассрочку - 50 тыс/мес,"2-комн. квартира, 40,7 м², 7/9 этаж",https://www.cian.ru/sale/flat/309299312/,19 990 000 ₽,491 155 ₽/м²
"Москва, СВАО, р-н Марфино, м. Владыкино, Вери ЖК, к1",17 минут пешком,Владыкино,"Дом, который вы искали","2-комн. квартира, 45,4 м², 30/31 этаж",https://www.cian.ru/sale/flat/307200888/,20 000 000 ₽,440 529 ₽/м²
"Москва, СЗАО, р-н Покровское-Стрешнево, м. Трикотажная, Строительный проезд, 9С9",4 минуты на транспорте,Трикотажная,Квартира для семьи,"2-комн. квартира, 69,1 м², 2/44 этаж",https://www.cian.ru/sale/flat/307220107/,20 450 000 ₽,295 948 ₽/м²
"Москва, ЗАО, р-н Можайский, м. Сетунь, Сколковское шоссе, 40к2",9 минут на транспорте,Кунцевская,Лучшее предложение!,"2-комн. квартира, 62,3 м², 10/14 этаж",https://www.cian.ru/sale/flat/308188174/,20 500 000 ₽,329 053 ₽/м²
"Москва, ЮЗАО, р-н Ясенево, м. Тёплый Стан, Новоясеневский проспект, 3В",10 минут пешком,Тёплый Стан,"2-комн. апартаменты, 69,2 м², 11/14 этаж",Секция 2 • Сдан,https://www.cian.ru/sale/flat/297413640/,20 490 120 ₽,296 100 ₽/м²
"Москва, СЗАО, р-н Северное Тушино, м. Сходненская, Туристская улица, 14",18 минут пешком,Планерная,"2-комн. квартира, 56 м², 10/18 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/306955636/,20 600 000 ₽,367 857 ₽/м²
"Москва, ЮЗАО, р-н Зюзино, м. Каховская, Болотниковская улица, 36к1",13 минут пешком,Каховская,2к в 10 минутах от метро,"2-комн. квартира, 51,1 м², 2/17 этаж",https://www.cian.ru/sale/flat/309593772/,20 700 000 ₽,405 088 ₽/м²
"Москва, ЮЗАО, р-н Ясенево, м. Тёплый Стан, Новоясеневский проспект, 3В",15 минут пешком,Тёплый Стан,"2-комн. апартаменты, 84,1 м², 1/14 этаж",Секция 1 • Сдан,https://www.cian.ru/sale/flat/297413612/,20 732 387 ₽,246 521 ₽/м²
"Москва, ЗАО, р-н Очаково-Матвеевское, м. Аминьевская, Очаковское шоссе, 9А",9 минут пешком,Аминьевская,"2-комн. квартира, 60 м², 11/21 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310914519/,20 999 999 ₽,350 000 ₽/м²
"Москва, СЗАО, р-н Покровское-Стрешнево, м. Трикотажная, Строительный проезд, 9С9",8 минут на транспорте,Тушинская,"2-комн. квартира, 64,9 м², 21/44 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309434099/,20 900 000 ₽,322 034 ₽/м²
"Москва, САО, р-н Дмитровский, м. Яхромская, Дмитровское шоссе, 107к1",4 минуты пешком,Яхромская,"2-к. кв., 52.6 м², 18/21 эт.","2-комн. квартира, 52,6 м², 18/21 этаж",https://www.cian.ru/sale/flat/310716693/,20 900 000 ₽,397 338 ₽/м²
"Москва, ЦАО, р-н Мещанский, м. Цветной бульвар, Трубная улица, 35С1",5 минут пешком,Цветной бульвар,"2-комн. квартира, 36 м², 4/4 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309446087/,21 000 000 ₽,583 333 ₽/м²
"Москва, ЮАО, р-н Даниловский, м. ЗИЛ, Автозаводская улица, 23Бк2",13 минут пешком,Автозаводская,Стильная отделка и виды на реку,"2-комн. квартира, 45 м², 22/24 этаж",https://www.cian.ru/sale/flat/302899156/,21 000 000 ₽,466 667 ₽/м²
"Москва, ЮЗАО, р-н Зюзино, м. Нахимовский проспект, Болотниковская улица, 36к2",12 минут пешком,Нахимовский проспект,2к рядом с метро,"2-комн. квартира, 50,8 м², 2/17 этаж",https://www.cian.ru/sale/flat/309593771/,21 400 000 ₽,421 260 ₽/м²
"Москва, СЗАО, р-н Покровское-Стрешнево, м. Трикотажная, Строительный проезд, 9С31",19 минут пешком,Трикотажная,"2-комн. квартира, 75,7 м², 18/30 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/308183422/,21 375 000 ₽,282 365 ₽/м²
"Москва, ВАО, р-н Преображенское, м. Преображенская площадь, Лермонтовская улица, 1",12 минут пешком,Преображенская площадь,"2-комн. квартира, 55,1 м², 6/20 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/308566911/,21 500 000 ₽,390 200 ₽/м²
"Москва, СВАО, р-н Алексеевский, м. ВДНХ, проспект Мира, 124К8",7 минут пешком,ВДНХ,Простор и уют!,"2-комн. квартира, 63,1 м², 7/8 этаж",https://www.cian.ru/sale/flat/306956699/,21 590 000 ₽,342 155 ₽/м²
"Москва, ЗАО, р-н Очаково-Матвеевское, м. Озёрная, Озерная улица, 42",4 минуты пешком,Озёрная,"Без обременений, 5 минут до метро","2-комн. квартира, 60 м², 10/31 этаж",https://www.cian.ru/sale/flat/294558930/,21 800 000 ₽,363 333 ₽/м²
"Москва, ЮАО, р-н Нагатино-Садовники, м. Нагатинская, Варшавское шоссе, 37АК1",6 минут пешком,Нагатинская,"2-комн. квартира, 45,9 м², 19/31 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310022558/,22 000 000 ₽,479 303 ₽/м²
"Москва, ЗАО, р-н Тропарево-Никулино, м. Озёрная, Никулинская улица, 19",8 минут пешком,Озёрная,Дайте Вашей СЕМЬЕ ЛУЧШЕЕ!!!,"2-комн. квартира, 59,4 м², 5/22 этаж",https://www.cian.ru/sale/flat/309205520/,21 900 000 ₽,368 687 ₽/м²
"Москва, ЮЗАО, р-н Котловка, м. Крымская, Севастопольский проспект, 22",20 минут пешком,Академическая,"2-комн. квартира, 58,1 м², 16/19 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310233778/,22 000 000 ₽,378 657 ₽/м²
"Москва, СЗАО, р-н Хорошево-Мневники, м. Терехово , улица Нижние Мневники, 35",16 минут пешком,Терехово ,Дизайнерская отделка | 1 спальня,"2-комн. квартира, 37 м², 2/13 этаж",https://www.cian.ru/sale/flat/310305794/,22 000 000 ₽,594 595 ₽/м²
"Москва, НАО (Новомосковский), м. Саларьево, Родниковая улица, 30к1",5 минут на транспорте,Саларьево,Просторная комфортная двушка,"2-комн. квартира, 63,7 м², 2/22 этаж",https://www.cian.ru/sale/flat/309634443/,22 000 000 ₽,345 369 ₽/м²
"Москва, СВАО, р-н Марфино, м. Улица Милашенкова, улица Академика Комарова, 3к2",13 минут пешком,Улица Милашенкова,"Светлая, уютная квартира","2-комн. квартира, 58,5 м², 10/20 этаж",https://www.cian.ru/sale/flat/310866361/,22 100 000 ₽,377 778 ₽/м²
"Москва, ЮЗАО, р-н Южное Бутово, м. Улица Скобелевская, Старокрымская улица, 17",17 минут пешком,Улица Скобелевская,"2-комн. квартира, 72 м², 21/23 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310316239/,22 500 000 ₽,312 500 ₽/м²
"Москва, СЗАО, р-н Хорошево-Мневники, м. Народное Ополчение, улица Генерала Глаголева",5 минут на транспорте,Народное Ополчение,"2-комн. квартира, 47,5 м², 27/28 этаж",Секция 1 • Сдача корпуса 4 кв. 2026,https://www.cian.ru/sale/flat/298064019/,22 372 500 ₽,471 000 ₽/м²
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 34",10 минут пешком,Динамо,2-ком. квартира на Динамо!,"2-комн. квартира, 42,8 м², 3/7 этаж",https://www.cian.ru/sale/flat/310028335/,22 500 000 ₽,525 701 ₽/м²
